"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 05월 01일","57,807.1","57,719.1","58,449.4","57,029.5","63.41K","0.15%"
"2021년 04월 30일","57,720.3","53,562.3","57,925.6","53,088.7","103.74K","7.77%"
"2021년 04월 29일","53,560.8","54,838.6","55,173.7","52,400.0","83.90K","-2.34%"
"2021년 04월 28일","54,841.4","55,036.0","56,419.9","53,876.4","86.96K","-0.35%"
"2021년 04월 27일","55,036.5","54,011.1","55,427.8","53,345.0","84.08K","1.88%"
"2021년 04월 26일","54,020.5","48,963.5","54,320.9","48,815.9","129.76K","10.33%"
"2021년 04월 25일","48,963.6","50,088.2","50,532.4","47,098.5","59.20K","-2.25%"
"2021년 04월 24일","50,088.9","51,140.8","51,183.0","48,775.2","82.25K","-2.06%"
"2021년 04월 23일","51,143.6","51,707.1","52,099.9","47,659.4","214.46K","-1.13%"
"2021년 04월 22일","51,729.5","53,821.3","55,408.4","50,590.9","168.13K","-3.88%"
"2021년 04월 21일","53,820.2","56,479.5","56,764.4","53,657.6","100.26K","-4.71%"
"2021년 04월 20일","56,483.2","55,645.1","57,054.9","53,422.5","115.49K","1.50%"
"2021년 04월 19일","55,646.1","56,208.1","57,517.0","54,272.3","117.51K","-1.00%"
"2021년 04월 18일","56,207.1","60,043.2","60,362.1","51,817.6","216.81K","-6.39%"
"2021년 04월 17일","60,041.9","61,358.3","62,509.1","59,672.1","84.08K","-2.18%"
"2021년 04월 16일","61,379.7","63,211.6","63,518.5","60,027.3","136.85K","-2.90%"
"2021년 04월 15일","63,216.0","62,978.6","63,729.1","62,067.5","76.97K","0.37%"
"2021년 04월 14일","62,980.4","63,544.2","64,778.0","61,366.3","130.43K","-0.88%"
"2021년 04월 13일","63,540.9","59,863.6","63,659.0","59,839.4","126.56K","6.14%"
"2021년 04월 12일","59,863.8","59,982.1","61,259.9","59,569.2","81.88K","-0.19%"
"2021년 04월 11일","59,978.7","59,772.4","60,667.1","59,250.3","58.20K","0.39%"
"2021년 04월 10일","59,748.4","58,127.4","61,229.0","57,900.0","103.72K","2.80%"
"2021년 04월 09일","58,118.7","58,076.8","58,890.9","57,686.0","59.22K","0.07%"
"2021년 04월 08일","58,077.4","55,948.0","58,136.7","55,721.6","64.78K","3.80%"
"2021년 04월 07일","55,948.7","57,996.3","58,627.7","55,489.3","110.69K","-3.53%"
"2021년 04월 06일","57,996.3","59,169.0","59,487.0","57,403.3","77.15K","-1.69%"
"2021년 04월 05일","58,993.4","58,202.3","59,205.1","56,842.7","54.13K","1.36%"
"2021년 04월 04일","58,199.9","57,059.7","58,464.8","56,470.6","57.21K","2.00%"
"2021년 04월 03일","57,059.9","58,976.8","59,770.5","56,906.7","68.74K","-3.25%"
"2021년 04월 02일","58,977.3","58,718.2","60,134.9","58,466.5","72.37K","0.44%"
"2021년 04월 01일","58,718.3","58,763.2","59,406.5","58,040.7","69.04K","-0.08%"
"2021년 03월 31일","58,763.7","58,771.4","59,795.6","56,991.6","98.06K","-0.01%"
"2021년 03월 30일","58,771.3","57,614.6","59,366.9","57,077.1","86.21K","2.00%"
"2021년 03월 29일","57,616.2","55,764.7","58,392.6","54,951.1","107.91K","3.32%"
"2021년 03월 28일","55,765.2","55,856.9","56,504.2","54,711.3","58.71K","-0.17%"
"2021년 03월 27일","55,862.9","55,033.8","56,531.1","54,010.2","73.87K","1.50%"
"2021년 03월 26일","55,036.1","51,317.4","55,074.1","51,302.0","100.30K","7.24%"
"2021년 03월 25일","51,322.3","52,330.0","53,175.4","50,441.3","143.35K","-1.92%"
"2021년 03월 24일","52,325.4","54,309.1","57,169.4","51,725.4","137.91K","-3.91%"
"2021년 03월 23일","54,452.5","54,117.5","55,813.8","52,992.3","84.84K","0.54%"
"2021년 03월 22일","54,158.3","57,379.3","58,379.9","53,784.2","95.53K","-5.62%"
"2021년 03월 21일","57,383.8","58,097.4","58,583.8","55,583.3","77.47K","-1.22%"
"2021년 03월 20일","58,093.4","58,084.1","59,882.1","57,863.0","67.83K","0.01%"
"2021년 03월 19일","58,088.0","57,645.0","59,448.3","56,305.1","83.98K","0.75%"
"2021년 03월 18일","57,656.0","58,911.8","60,088.0","57,099.6","102.62K","-2.13%"
"2021년 03월 17일","58,913.5","56,892.9","58,933.2","54,253.2","118.26K","3.56%"
"2021년 03월 16일","56,889.7","55,619.5","56,889.7","53,342.6","128.51K","1.97%"
"2021년 03월 15일","55,791.3","59,117.4","60,565.9","55,088.8","117.71K","-5.62%"
